Hello;Ciao;Hola
Please, keep going.;Per favore, continua.;Por favor, sigue adelante.
I found my wallet.;Ho trovato il mio portafoglio.;Encontré mi billetera.
Where can I find this information?;Dove posso trovare queste informazioni?;¿Dónde puedo encontrar esta información?
Call your mother.;Chiama tua madre.;Llama a tu madre.
My name is Ana.;Mi chiamo Ana.;Me llamo Ana.
Come to my house tomorrow.;Vieni a casa mia domani.;Ven a mi casa mañana.
They came to see the show.;Sono venuti a vedere lo spettacolo.;Vinieron a ver el espectáculo.
I think it’s a good idea.;Penso che sia una buona idea.;Pienso que es una buena idea.
He thinks a lot about the future.;Pensa molto al futuro.;Piensa mucho en el futuro.
We leave at 8 p.m.;Usciamo alle 20:00.;Salimos a las 8 p.m.
She went out with her friends.;È uscita con le sue amiche.;Ella salió con sus amigos.
He returns from work at 5 p.m.;Torna dal lavoro alle 17:00.;Vuelve del trabajo a las 5 p.m.
Will you come back next week?;Tornerai la prossima settimana?;¿Volverás la próxima semana?
Take an umbrella with you.;Prendi un ombrello con te.;Lleva un paraguas contigo.
She takes a coffee every morning.;Prende un caffè ogni mattina.;Toma un café cada mañana.
Do you know this neighborhood?;Conosci questo quartiere?;¿Conoces este barrio?
I know many people here.;Conosco molte persone qui.;Conozco a muchas personas aquí.
He lives in Italy.;Vive in Italia.;Vive en Italia.
They live near the beach.;Vivono vicino alla spiaggia.;Viven cerca de la playa.
I feel tired today.;Mi sento stanco oggi.;Me siento cansado hoy.
We regret the inconvenience.;Ci dispiace per l'inconveniente.;Lamentamos el inconveniente.
She treats everyone kindly.;Tratta tutti gentilmente.;Trata a todos con amabilidad.
He handled the situation well.;Ha gestito bene la situazione.;Manejó bien la situación.
Look at the stars tonight.;Guarda le stelle stanotte.;Mira las estrellas esta noche.
They watched a movie together.;Hanno guardato un film insieme.;Miraron una película juntos.
I count on you.;Conto su di te.;Cuento contigo.
Can you tell me a story?;Puoi raccontarmi una storia?;¿Puedes contarme una historia?
Let's start the meeting.;Iniziamo la riunione.;Empecemos la reunión.
I begin my work at 9 a.m.;Inizio il mio lavoro alle 9:00.;Empiezo mi trabajo a las 9 a.m.
She waits for the bus every day.;Aspetta l'autobus ogni giorno.;Espera el autobús todos los días.
We hope for the best.;Speriamo per il meglio.;Esperamos lo mejor.
I’m looking for my keys.;Sto cercando le mie chiavi.;Estoy buscando mis llaves.
They are searching for answers.;Stanno cercando risposte.;Están buscando respuestas.
Love exists in many forms.;L'amore esiste in molte forme.;El amor existe en muchas formas.
Do you believe ghosts exist?;Credi che i fantasmi esistano?;¿Crees que los fantasmas existen?
Please, come in.;Per favore, entra.;Por favor, entra.
He entered the room quietly.;È entrato nella stanza in silenzio.;Entró en la habitación en silencio.
I work from home.;Lavoro da casa.;Trabajo desde casa.
They work at the hospital.;Lavorano in ospedale.;Trabajan en el hospital.

I write in my journal daily.;Scrivo nel mio diario ogni giorno.;Escribo en mi diario todos los días.
Please write down your name.;Per favore, scrivi il tuo nome.;Por favor, escribe tu nombre.

She lost her wallet.;Ha perso il portafoglio.;Ella perdió su cartera.
I often lose my keys.;Perdo spesso le chiavi.;Pierdo mis llaves a menudo.

They produce high-quality products.;Producono prodotti di alta qualità.;Producen productos de alta calidad.
The factory produces cars.;La fabbrica produce auto.;La fábrica produce autos.

It occurred last night.;È successo ieri sera.;Ocurrió anoche.
Accidents happen.;Gli incidenti accadono.;Los accidentes ocurren.

I understand your situation.;Capisco la tua situazione.;Entiendo tu situación.
Do you understand the instructions?;Capisci le istruzioni?;¿Entiendes las instrucciones?

I ask for help when needed.;Chiedo aiuto quando serve.;Pido ayuda cuando es necesario.
Could you request a room change?;Potresti chiedere un cambio di stanza?;¿Podrías pedir un cambio de habitación?

We receive many letters.;Riceviamo molte lettere.;Recibimos muchas cartas.
They received a warm welcome.;Hanno ricevuto un caloroso benvenuto.;Recibieron una cálida bienvenida.

I remember that day well.;Ricordo bene quel giorno.;Recuerdo bien ese día.
Please remind me tomorrow.;Per favore, ricordamelo domani.;Por favor, recuérdamelo mañana.
Let's finish the project today.;Terminiamo il progetto oggi.;Terminemos el proyecto hoy.
The event ends at midnight.;L'evento termina a mezzanotte.;El evento termina a medianoche.

Will you allow us to enter?;Ci permetti di entrare?;¿Nos permitirás entrar?
They allowed him to speak.;Gli hanno permesso di parlare.;Le permitieron hablar.

She appeared suddenly.;È apparsa all'improvviso.;Apareció de repente.
New stars appear in the sky.;Nuove stelle appaiono nel cielo.;Nuevas estrellas aparecen en el cielo.

I managed to get tickets.;Sono riuscito a ottenere i biglietti.;Conseguí conseguir boletos.
Did you obtain the documents?;Hai ottenuto i documenti?;¿Conseguiste los documentos?

He begins his speech.;Inizia il suo discorso.;Comienza su discurso.
We’ll start the event at 6 p.m.;Cominceremo l'evento alle 18:00.;Comenzaremos el evento a las 6 p.m.

They serve food all day.;Servono cibo tutto il giorno.;Sirven comida todo el día.
He served in the military.;Ha servito nell'esercito.;Sirvió en el ejército.

Take out the trash, please.;Porta fuori la spazzatura, per favore.;Saca la basura, por favor.
She stuck out her tongue.;Ha tirato fuori la lingua.;Sacó la lengua.

I need a cup of coffee.;Ho bisogno di una tazza di caffè.;Necesito una taza de café.
We require your assistance.;Abbiamo bisogno del tuo aiuto.;Requerimos tu ayuda.

You must maintain focus.;Devi mantenere la concentrazione.;Debes mantener la concentración.
He keeps a healthy lifestyle.;Mantiene uno stile di vita sano.;Mantiene un estilo de vida saludable.

It turned out to be true.;Si è rivelato vero.;Resultó ser cierto.
The plan didn't turn out as expected.;Il piano non è andato come previsto.;El plan no resultó como se esperaba.

I read the entire book.;Ho letto tutto il libro.;Leí todo el libro.
She reads every night.;Legge ogni sera.;Lee cada noche.

Be careful not to fall.;Attento a non cadere.;Ten cuidado de no caerte.
The vase fell off the table.;Il vaso è caduto dal tavolo.;El jarrón se cayó de la mesa.

They changed the schedule.;Hanno cambiato l'orario.;Cambiaron el horario.
Can I change my answer?;Posso cambiare la mia risposta?;¿Puedo cambiar mi respuesta?

Let me introduce you to my friend.;Permettimi di presentarti il mio amico.;Déjame presentarte a mi amigo.
The company introduced a new product.;L'azienda ha presentato un nuovo prodotto.;La empresa presentó un nuevo producto.

He created a beautiful painting.;Ha creato un bellissimo dipinto.;Creó una hermosa pintura.
They create unique designs.;Creano disegni unici.;Crean diseños únicos.

Open the door, please.;Apri la porta, per favore.;Abre la puerta, por favor.
The store opens at 9 a.m.;Il negozio apre alle 9:00.;La tienda abre a las 9 a.m.

Consider the options carefully.;Considera attentamente le opzioni.;Considera las opciones cuidadosamente.
They consider him a good leader.;Lo considerano un buon leader.;Lo consideran un buen líder.

Did you hear that noise?;Hai sentito quel rumore?;¿Oíste ese ruido?
I hear music in the background.;Sento musica in sottofondo.;Oigo música de fondo.

The show is about to end.;Lo spettacolo sta per finire.;El espectáculo está por acabar.
Let’s finish our homework.;Finiamo i compiti.;Acabemos nuestra tarea.

They converted the room into a study.;Hanno convertito la stanza in uno studio.;Convirtieron la habitación en un estudio.
He changed his perspective.;Ha cambiato prospettiva.;Cambió su perspectiva.

She won the contest.;Ha vinto il concorso.;Ganó el concurso.
They earned a lot from the investment.;Hanno guadagnato molto dall'investimento.;Ganaron mucho de la inversión.

They formed a new team.;Hanno formato un nuovo team.;Formaron un nuevo equipo.
The clay is shaped into a vase.;L'argilla viene modellata in un vaso.;La arcilla se forma en un jarrón.

Can you bring me some water?;Mi porti dell'acqua?;¿Me traes un poco de agua?
She always brings a positive attitude.;Porta sempre un atteggiamento positivo.;Siempre trae una actitud positiva.

He left for the airport.;È partito per l'aeroporto.;Partió hacia el aeropuerto.
Let’s split the bill.;Dividiamo il conto.;Partamos la cuenta.

The plant died.;La pianta è morta.;La planta murió.
He fears dying young.;Ha paura di morire giovane.;Teme morir joven.
We accept your invitation.;Accettiamo il tuo invito.;Aceptamos tu invitación.
He agreed to help us.;Ha accettato di aiutarci.;Aceptó ayudarnos.

She accomplished her dream.;Ha realizzato il suo sogno.;Realizó su sueño.
They achieved great success.;Hanno raggiunto un grande successo.;Realizaron un gran éxito.

I suppose you're right.;Suppongo tu abbia ragione.;Supongo que tienes razón.
Let’s assume he's coming.;Supponiamo che venga.;Supongamos que viene.

I understand the question.;Comprendo la domanda.;Comprendo la pregunta.
Can you comprehend the instructions?;Riesci a comprendere le istruzioni?;¿Puedes comprender las instrucciones?

She achieved her goal.;Ha raggiunto il suo obiettivo.;Logró su objetivo.
They managed to obtain the permit.;Sono riusciti a ottenere il permesso.;Lograron obtener el permiso.

He explained the rules.;Ha spiegato le regole.;Explicó las reglas.
Can you explain it to me?;Me lo puoi spiegare?;¿Puedes explicármelo?

She asked for directions.;Ha chiesto indicazioni.;Preguntó por direcciones.
I want to ask you something.;Voglio chiederti qualcosa.;Quiero preguntarte algo.

He touches the sculpture.;Tocca la scultura.;Toca la escultura.
She plays the piano beautifully.;Suona il piano magnificamente.;Toca el piano maravillosamente.

I recognize her face.;Riconosco il suo viso.;Reconozco su rostro.
Do you recognize this song?;Riconosci questa canzone?;¿Reconoces esta canción?

I study every night.;Studio ogni sera.;Estudio todas las noches.
They are studying for the test.;Stanno studiando per l'esame.;Están estudiando para el examen.

I can’t reach the top shelf.;Non riesco a raggiungere lo scaffale alto.;No puedo alcanzar el estante superior.
He caught up with the group.;Ha raggiunto il gruppo.;Alcanzó al grupo.

I was born in spring.;Sono nato in primavera.;Nací en primavera.
When were you born?;Quando sei nato?;¿Cuándo naciste?

She directs the choir.;Dirige il coro.;Dirige el coro.
He is directing the movie.;Sta dirigendo il film.;Está dirigiendo la película.

I run every morning.;Corro ogni mattina.;Corro todas las mañanas.
The children are running in the park.;I bambini stanno correndo nel parco.;Los niños están corriendo en el parque.

I use this app daily.;Utilizzo questa app ogni giorno.;Utilizo esta aplicación todos los días.
They are utilizing new resources.;Stanno utilizzando nuove risorse.;Están utilizando nuevos recursos.

Did you pay the bill?;Hai pagato il conto?;¿Pagaste la cuenta?
We paid for the tickets.;Abbiamo pagato i biglietti.;Pagamos los boletos.

He helped his friend.;Ha aiutato il suo amico.;Ayudó a su amigo.
Can you help me?;Mi puoi aiutare?;¿Puedes ayudarme?

I like this song.;Mi piace questa canzone.;Me gusta esta canción.
He really likes Italian food.;Gli piace molto il cibo italiano.;Le gusta mucho la comida italiana.

They play soccer every weekend.;Giocano a calcio ogni fine settimana.;Juegan fútbol todos los fines de semana.
Do you want to play cards?;Vuoi giocare a carte?;¿Quieres jugar a las cartas?

Listen to this song!;Ascolta questa canzone!;¡Escucha esta canción!
She listens carefully.;Ascolta attentamente.;Escucha atentamente.

He fulfilled his promise.;Ha mantenuto la sua promessa.;Cumplió su promesa.
Did you carry out the task?;Hai svolto il compito?;¿Cumpliste la tarea?

Can I offer you a drink?;Posso offrirti da bere?;¿Puedo ofrecerte una bebida?
They offered him a job.;Gli hanno offerto un lavoro.;Le ofrecieron un trabajo.

She discovered a hidden door.;Ha scoperto una porta nascosta.;Descubrió una puerta oculta.
They discovered a new planet.;Hanno scoperto un nuovo pianeta.;Descubrieron un nuevo planeta.

Lift the box carefully.;Solleva la scatola con attenzione.;Levanta la caja con cuidado.
She raises her hand to speak.;Alza la mano per parlare.;Levanta la mano para hablar.

He tried to solve the puzzle.;Ha provato a risolvere il rompicapo.;Intentó resolver el rompecabezas.
I’ll try again later.;Proverò di nuovo più tardi.;Intentaré de nuevo más tarde.
